Time, y(t)
0.000000000000000000e+00,5.000000000000000000e+00
1.000000000000000056e-01,4.000000000000000000e+00
2.000000000000000111e-01,3.200000000000000178e+00
3.000000000000000444e-01,2.560000000000000053e+00
4.000000000000000222e-01,2.048000000000000043e+00
5.000000000000000000e-01,1.638400000000000079e+00
6.000000000000000888e-01,1.310720000000000107e+00
7.000000000000000666e-01,1.048576000000000175e+00
8.000000000000000444e-01,8.388608000000001841e-01
9.000000000000000222e-01,6.710886400000001251e-01
1.000000000000000000e+00,5.368709120000001445e-01
1.100000000000000089e+00,4.294967296000001267e-01
1.200000000000000178e+00,3.435973836800000902e-01
1.300000000000000044e+00,2.748779069440000500e-01
1.400000000000000133e+00,2.199023255552000344e-01
1.500000000000000000e+00,1.759218604441600275e-01
1.600000000000000089e+00,1.407374883553280109e-01
1.700000000000000178e+00,1.125899906842624115e-01
1.800000000000000044e+00,9.007199254740992644e-02
1.900000000000000133e+00,7.205759403792794116e-02
2.000000000000000000e+00,5.764607523034235431e-02
2.100000000000000089e+00,4.611686018427388345e-02
2.200000000000000178e+00,3.689348814741910676e-02
2.300000000000000266e+00,2.951479051793528402e-02
2.400000000000000355e+00,2.361183241434822860e-02
2.500000000000000000e+00,1.888946593147858288e-02
2.600000000000000089e+00,1.511157274518286700e-02
2.700000000000000178e+00,1.208925819614629395e-02
2.800000000000000266e+00,9.671406556917035505e-03
2.900000000000000355e+00,7.737125245533628230e-03
3.000000000000000000e+00,6.189700196426902758e-03
3.100000000000000089e+00,4.951760157141522380e-03
3.200000000000000178e+00,3.961408125713218077e-03
3.300000000000000266e+00,3.169126500570574548e-03
3.400000000000000355e+00,2.535301200456459812e-03
3.500000000000000000e+00,2.028240960365167763e-03
3.600000000000000089e+00,1.622592768292134297e-03
3.700000000000000178e+00,1.298074214633707481e-03
3.800000000000000266e+00,1.038459371706966028e-03
3.900000000000000355e+00,8.307674973655728226e-04
4.000000000000000000e+00,6.646139978924582147e-04
4.100000000000000533e+00,5.316911983139665284e-04
4.200000000000000178e+00,4.253529586511732444e-04
4.299999999999999822e+00,3.402823669209385847e-04
4.400000000000000355e+00,2.722258935367508461e-04
4.500000000000000000e+00,2.177807148294006877e-04
4.600000000000000533e+00,1.742245718635205447e-04
4.700000000000000178e+00,1.393796574908164249e-04
4.800000000000000711e+00,1.115037259926531400e-04
4.900000000000000355e+00,8.920298079412251739e-05
5.000000000000000000e+00,7.136238463529801662e-05
